,Sangli,Satara,Kolhapur,Pune,Akola,Amravati,Yavatmal,Aurangabad,Jalna,Osmanabad,Nanded,Latur,Hingoli,Chandrapur,Gondia,Nagpur,Wardha,Nandurbar,Nashik,Ahmednagar,Palghar,Raigad,Ratnagiri,Sindhudurg,Mumbai
Sangli,0.0,59.805481056480396,63.78086968258246,168.44639153220572,482.9822884474718,545.7081134883144,509.7905963231803,310.33141347974,333.2765991886064,196.06425141490107,372.4211017462567,263.8418079953787,378.50802819489553,610.3063650550858,755.3134108057405,645.3969557091344,585.311759610518,481.7503222046041,325.88512997402194,222.64429025867312,334.7562494003228,211.81044551780795,120.34600400966622,152.0040548469021,277.79045401869547
Satara,59.805481056480396,0.0,103.72957691770823,108.80853704455087,460.62373832585865,524.3606828668519,499.51690100638154,271.62898294871036,302.37035064239313,201.03635036115043,372.325500605379,271.1628734076792,368.93764041551844,610.9228770582475,748.0688316344009,634.432953699037,573.9953869730746,431.0529167863971,268.8664597673274,179.3394903954027,275.03150877602224,154.95459101761514,97.29833952082406,180.04750896803583,219.02793379217962
Kolhapur,63.78086968258246,103.72957691770823,0.0,205.8620327052132,546.7512602848589,609.488515590982,572.5500174701565,370.72141102217586,395.97647044826346,256.87179860716805,433.0956841833409,322.87999757756546,441.39170197896664,669.9085546087963,817.1145317195534,708.1247938557298,648.1626490374454,534.7824459612392,370.11856466432926,280.604954045076,362.91728742983605,230.29105312670555,105.11895667076898,88.76699091392334,300.2746584198939
Pune,168.44639153220572,108.80853704455087,205.8620327052132,0.0,428.2544896877081,491.6803607582011,488.83868518210727,216.3892211221945,262.03416698536114,241.54225955611574,386.3634036108889,305.9219496616781,366.069585408593,616.8468819199439,736.8934356828878,618.5619052952607,558.9839875885451,339.6992175548702,165.43311185643526,127.15395260782036,168.24646734406025,75.43939776941603,143.7110539564525,265.5609397942075,119.72904198136459
Akola,482.9822884474718,460.62373832585865,546.7512602848589,428.2544896877081,0.0,63.98132772452627,107.57709724096237,216.34430186370398,166.25423169310568,308.74831868140535,187.51777475672895,271.2841541787045,135.41786471242398,251.4931078115215,320.3168071397849,200.49476615611533,147.56402260606058,286.8035368012816,363.45786737450305,301.1936756546587,470.0956454973648,492.7749144932641,549.9429170711084,634.1506332465722,487.18024630426163
Amravati,545.7081134883144,524.3606828668519,609.488515590982,491.6803607582011,63.98132772452627,0.0,104.21809163609169,278.32077646730926,229.66559521750847,367.541180947737,229.23239610023708,324.54105416441433,185.54985516685994,226.02026128459045,265.8912673372879,148.77303207844102,106.7900353449442,323.2193573176638,419.91253079171065,364.74447784530656,526.9475458071473,555.3072262058984,613.9164232565219,697.1682990995465,547.3158798941297
Yavatmal,509.7905963231803,499.51690100638154,572.5500174701565,488.83868518210727,107.57709724096237,104.21809163609169,0.0,293.67513702008097,238.30229757848267,317.8824446607718,151.84336575650408,261.3179983120135,131.33630555806158,146.69430215931064,249.31962579547422,135.60688227782316,75.71907677468518,393.3807044840701,451.9474131116372,363.9449308216166,556.2618267040127,559.247866381852,594.5126271859539,661.3168186922092,564.402495701356
Aurangabad,310.33141347974,271.62898294871036,370.72141102217586,216.3892211221945,216.34430186370398,278.32077646730926,293.67513702008097,0.0,55.67606527076085,206.30559054975083,240.51587011215665,225.1665846188933,195.2277952591501,435.00163400444666,533.7267531746747,413.7720118777013,356.4620152753911,199.65602489688337,162.21481642177667,93.8843163402343,263.34866729686564,277.09745115575214,349.3440206880812,451.6571447899678,272.22949835061286
Jalna,333.2765991886064,302.37035064239313,395.97647044826346,262.03416698536114,166.25423169310568,229.66559521750847,238.30229757848267,55.67606527076085,0.0,195.77404172991436,191.8523775233518,197.06036011991935,142.3687198283816,379.3338395482164,480.2061725036221,360.50504877345577,302.44397705405976,224.49120119703846,217.21349161769538,135.09919774352556,319.02209140882525,327.1236086286185,387.2533279499267,480.5678207232373,326.5796657647078
Osmanabad,196.06425141490107,201.03635036115043,256.87179860716805,241.54225955611574,308.74831868140535,367.541180947737,317.8824446607718,206.30559054975083,195.77404172991436,0.0,176.39490701348373,70.12653476212293,188.2702274080795,414.3701020649853,560.3744241938199,452.985262603027,393.5862148515232,405.9484940256979,318.27247717022624,172.2662066258477,384.293697104846,315.8779678381501,297.9461634484688,345.3391276494234,355.2311703797539
